MutationType	ID1	ID2	ID8	ID9	ID83A	ID83D
1:Ins:T:4	0.01664913	0.00348746	0.00082262	0.00158536	0.00000000	0.00069568
1:Ins:T:5	0.89090647	0.00313258	0.02016125	0.00577248	0.00001174	0.00098600
2:Del:R:0	0.00068605	0.00016381	0.00876922	0.01317475	0.00078246	0.00110769
2:Del:R:1	0.00121997	0.00356888	0.01030715	0.00319854	0.00271868	0.00037610
2:Del:R:2	0.00047275	0.00184957	0.00053203	0.00118970	0.00023563	0.00007497
2:Del:R:3	0.00042672	0.00073904	0.00002710	0.00009590	0.00002270	0.00001782
2:Del:R:4	0.00005460	0.00088193	0.00027403	0.00000000	0.00000000	0.00017025
2:Del:R:5	0.00000000	0.00000000	0.00083308	0.00000000	0.00000009	0.00000012
3:Del:R:0	0.00012804	0.00001250	0.01096410	0.00285810	0.00065394	0.00134898
3:Del:R:1	0.00501109	0.00500326	0.00134887	0.00430191	0.00052550	0.00124949
3:Del:R:2	0.00076938	0.00228989	0.00037657	0.00127572	0.00003797	0.00000000
3:Del:R:3	0.00037126	0.00040259	0.00025351	0.00030211	0.00000000	0.00015059
3:Del:R:4	0.00000000	0.00000000	0.00000268	0.00000000	0.00000007	0.00018172
3:Del:R:5	0.00000000	0.00000000	0.00009100	0.00000000	0.78034222	0.69595684
4:Del:R:0	0.00009970	0.00001210	0.00669131	0.00143277	0.00031747	0.00000000
4:Del:R:1	0.00090050	0.00211579	0.00162295	0.00459422	0.00000000	0.00101298
4:Del:R:2	0.00000323	0.00054329	0.00027262	0.00089602	0.00021756	0.00046434
4:Del:R:3	0.00000000	0.00000727	0.00002880	0.00002380	0.00000017	0.00000037
4:Del:R:4	0.00000000	0.00000000	0.00009730	0.00000000	0.00000022	0.00000016
4:Del:R:5	0.00002890	0.00021041	0.00000634	0.00001370	0.00000017	0.00000037
5:Del:R:0	0.00000835	0.00003850	0.23797886	0.00077205	0.00006975	0.00200058
5:Del:R:1	0.00019068	0.00297751	0.00057226	0.00047955	0.00002387	0.00000000
5:Del:R:2	0.00012636	0.00039753	0.00051684	0.00026497	0.00021516	0.00000000
5:Del:R:3	0.00001890	0.00015815	0.00000816	0.00000612	0.00000017	0.00000037
5:Del:R:4	0.00000311	0.00008470	0.00011290	0.00000725	0.00000017	0.00000037
5:Del:R:5	0.00003130	0.00002120	0.00004430	0.00002990	0.00000017	0.00000037
2:Ins:R:0	0.00040204	0.00033185	0.00191671	0.00116234	0.00000000	0.16049694
2:Ins:R:1	0.00000788	0.00027166	0.00166182	0.00210019	0.00019314	0.00000000
2:Ins:R:2	0.00022135	0.00103534	0.00030459	0.00076094	0.00040956	0.00000000
2:Ins:R:3	0.00051427	0.00038133	0.00017758	0.00035163	0.00060487	0.00003698
2:Ins:R:4	0.00291310	0.00197742	0.00001660	0.00003070	0.00164975	0.00003352
2:Ins:R:5	0.01812158	0.01363338	0.00176438	0.00000000	0.00093871	0.03057749
3:Ins:R:0	0.00000031	0.00005780	0.00066786	0.00025457	0.00000372	0.00072072
3:Ins:R:1	0.00025469	0.00122705	0.00067172	0.00082336	0.00065989	0.00062507
3:Ins:R:2	0.00004410	0.00021007	0.00013577	0.00011826	0.00000000	0.00000000
3:Ins:R:3	0.00016670	0.00000302	0.00003790	0.00000518	0.00000003	0.00001946
3:Ins:R:4	0.00008890	0.00014181	0.00012204	0.00001610	0.00000001	0.00027881
3:Ins:R:5	0.00124870	0.00186471	0.00003660	0.00000000	0.00003602	0.00021481
4:Ins:R:0	0.00000000	0.00001680	0.00077776	0.00016439	0.00007257	0.00000002
4:Ins:R:1	0.00074438	0.00120373	0.00110390	0.00071557	0.00002873	0.00111704
4:Ins:R:2	0.00007550	0.00001220	0.00007990	0.00004240	0.00000003	0.00000121
4:Ins:R:3	0.00015754	0.00013417	0.00000858	0.00002150	0.00001498	0.00006049
4:Ins:R:4	0.00031965	0.00024939	0.00020551	0.00000000	0.00024447	0.00000002
4:Ins:R:5	0.00100132	0.00219354	0.00088523	0.00000218	0.00015687	0.00041412
5:Ins:R:0	0.00000000	0.00000000	0.00031833	0.00016585	0.00000000	0.00004681
5:Ins:R:1	0.00144313	0.00013566	0.00976111	0.00125400	0.00157797	0.00113161
5:Ins:R:2	0.00025483	0.00000553	0.00010115	0.00010285	0.00000008	0.00000007
5:Ins:R:3	0.00023709	0.00009770	0.00007090	0.00008020	0.00018772	0.00004247
5:Ins:R:4	0.00026187	0.00000215	0.00000674	0.00005050	0.00000007	0.00012876
5:Ins:R:5	0.00011983	0.00011563	0.00019055	0.00000989	0.00000000	0.00000000
2:Del:M:1	0.00119782	0.00017555	0.00491367	0.00390097	0.00040162	0.00399085
3:Del:M:1	0.00008190	0.00000055	0.00929034	0.00301133	0.00000000	0.00064503
3:Del:M:2	0.00147959	0.00294406	0.00430269	0.00154330	0.00005397	0.00062056
4:Del:M:1	0.00008380	0.00014700	0.00580955	0.00192772	0.00000000	0.00081587
4:Del:M:2	0.00014548	0.00055061	0.00159159	0.00329745	0.00009323	0.00063140
4:Del:M:3	0.00016068	0.00069357	0.00109834	0.00254408	0.00034791	0.00124563
5:Del:M:1	0.00000082	0.00062496	0.28072426	0.00003540	0.00194545	0.00000000
5:Del:M:2	0.00000000	0.00011771	0.12361016	0.00022124	0.00000000	0.00107163
5:Del:M:3	0.00000000	0.00005670	0.04613041	0.00057091	0.00000000	0.00062619
5:Del:M:4	0.00003880	0.00046284	0.01636726	0.00044831	0.00001394	0.00000004
5:Del:M:5	0.00066512	0.00236732	0.01281488	0.00000000	0.18390669	0.00273281
