MutationType	ID1	ID2	ID8	ID9	ID83B	ID83D
3:Del:R:3	0.00037126	0.00040259	0.00025351	0.00030211	0.00023952	0.00000001
3:Del:R:4	0.00000000	0.00000000	0.00000268	0.00000000	0.00000026	0.00000041
3:Del:R:5	0.00000000	0.00000000	0.00009100	0.00000000	0.00000016	0.00000025
4:Del:R:0	0.00009970	0.00001210	0.00669131	0.00143277	0.00012529	0.00000003
4:Del:R:1	0.00090050	0.00211579	0.00162295	0.00459422	0.00074750	0.00000000
4:Del:R:2	0.00000323	0.00054329	0.00027262	0.00089602	0.00040238	0.00010917
4:Del:R:3	0.00000000	0.00000727	0.00002880	0.00002380	0.00000026	0.00000041
4:Del:R:4	0.00000000	0.00000000	0.00009730	0.00000000	0.00000026	0.00000041
4:Del:R:5	0.00002890	0.00021041	0.00000634	0.00001370	0.18986904	0.00106761
5:Del:R:0	0.00000835	0.00003850	0.23797886	0.00077205	0.00126029	0.02382776
5:Del:R:1	0.00019068	0.00297751	0.00057226	0.00047955	0.00017931	0.00007294
5:Del:R:2	0.00012636	0.00039753	0.00051684	0.00026497	0.00000001	0.00000006
5:Del:R:3	0.00001890	0.00015815	0.00000816	0.00000612	0.00000026	0.00000041
5:Del:R:4	0.00000311	0.00008470	0.00011290	0.00000725	0.00000026	0.00000041
5:Del:R:5	0.00003130	0.00002120	0.00004430	0.00002990	0.00000026	0.00000041
2:Ins:R:0	0.00040204	0.00033185	0.00191671	0.00116234	0.21283036	0.00039348
2:Ins:R:1	0.00000788	0.00027166	0.00166182	0.00210019	0.00032252	0.00004965
2:Ins:R:2	0.00022135	0.00103534	0.00030459	0.00076094	0.00038972	0.00000002
2:Ins:R:3	0.00051427	0.00038133	0.00017758	0.00035163	0.00005357	0.00011383
2:Ins:R:4	0.00291310	0.00197742	0.00001660	0.00003070	0.00002878	0.00000000
2:Ins:R:5	0.01812158	0.01363338	0.00176438	0.00000000	0.00000000	0.00172493
3:Ins:R:0	0.00000031	0.00005780	0.00066786	0.00025457	0.00013063	0.00022428
3:Ins:R:1	0.00025469	0.00122705	0.00067172	0.00082336	0.00005311	0.00026451
3:Ins:R:2	0.00004410	0.00021007	0.00013577	0.00011826	0.00000822	0.71715611
3:Ins:R:3	0.00016670	0.00000302	0.00003790	0.00000518	0.00000009	0.00000016
3:Ins:R:4	0.00008890	0.00014181	0.00012204	0.00001610	0.00000026	0.00000041
3:Ins:R:5	0.00124870	0.00186471	0.00003660	0.00000000	0.00000000	0.00008371
4:Ins:R:0	0.00000000	0.00001680	0.00077776	0.00016439	0.00000003	0.00000006
4:Ins:R:1	0.00074438	0.00120373	0.00110390	0.00071557	0.00006478	0.00015656
4:Ins:R:2	0.00007550	0.00001220	0.00007990	0.00004240	0.00019818	0.00000021
4:Ins:R:3	0.00015754	0.00013417	0.00000858	0.00002150	0.00095780	0.00029596
4:Ins:R:4	0.00031965	0.00024939	0.00020551	0.00000000	0.00022653	0.00000006
4:Ins:R:5	0.00100132	0.00219354	0.00088523	0.00000218	0.00029070	0.00007087
5:Ins:R:0	0.00000000	0.00000000	0.00031833	0.00016585	0.00000000	0.00010024
5:Ins:R:1	0.00144313	0.00013566	0.00976111	0.00125400	0.00000032	0.00017454
5:Ins:R:2	0.00025483	0.00000553	0.00010115	0.00010285	0.00000005	0.00018387
5:Ins:R:3	0.00023709	0.00009770	0.00007090	0.00008020	0.00000004	0.00009224
5:Ins:R:4	0.00026187	0.00000215	0.00000674	0.00005050	0.00000003	0.00031269
5:Ins:R:5	0.00011983	0.00011563	0.00019055	0.00000989	0.00003576	0.00000009
2:Del:M:1	0.00119782	0.00017555	0.00491367	0.00390097	0.00126051	0.00132210
3:Del:M:1	0.00008190	0.00000055	0.00929034	0.00301133	0.00000001	0.00030572
3:Del:M:2	0.00147959	0.00294406	0.00430269	0.00154330	0.02934853	0.00208007
4:Del:M:1	0.00008380	0.00014700	0.00580955	0.00192772	0.00011020	0.00000000
4:Del:M:2	0.00014548	0.00055061	0.00159159	0.00329745	0.00012386	0.00018182
4:Del:M:3	0.00016068	0.00069357	0.00109834	0.00254408	0.00000000	0.06419570
5:Del:M:1	0.00000082	0.00062496	0.28072426	0.00003540	0.00039394	0.00158641
5:Del:M:2	0.00000000	0.00011771	0.12361016	0.00022124	0.00000005	0.00057344
5:Del:M:3	0.00000000	0.00005670	0.04613041	0.00057091	0.00026614	0.00026810
5:Del:M:4	0.00003880	0.00046284	0.01636726	0.00044831	0.00000000	0.00066972
5:Del:M:5	0.00066512	0.00236732	0.01281488	0.00000000	0.00018326	0.00010730
