Samples	ID2	ID6	ID8	ID83B	ID83C	ID83E
X2c48eefe.2a08.47bf.8e4d.cbaab6777150..Panc.AdenoCA..DO35222	0	0	0	138	106	0
X2e43e0ca.54ea.482e.acf2.0048d9187a5c..Panc.AdenoCA..DO35258	149	0	0	229	176	0
X2fdfb06c.0d2f.4e1d.9756.bcb08a7f90af..Panc.AdenoCA..DO221546	70	0	0	112	215	0
X31c75873.abb4.4d88.9e2f.07497a6c892d..Panc.AdenoCA..DO35082	183	0	0	311	426	0
X32fa6457.c8bd.4d26.8106.925baf13df68..Panc.AdenoCA..DO51518	163	0	0	626	0	0
X33061bf5.9b99.4735.a810.f2d5eeef6873..Panc.AdenoCA..DO33392	56	0	0	191	126	0
X33070975.0f35.4518.9ffb.4c6170c32534..Panc.AdenoCA..DO33160	120	0	0	170	173	0
X33bcd589.80db.4a58.8f83.a48cb60e0fda..Panc.AdenoCA..DO35148	11	0	0	31	121	0
X368e592d.260c.4f58.81c4.a9f1e6177a4b..Panc.AdenoCA..DO51549	88	0	0	142	189	90
X3933c60d.73d6.4f74.ae02.fd545fc1f092..Panc.AdenoCA..DO51541	67	0	0	130	324	0
X39c6c3b3.4683.4d11.984c.ed589188da65..Panc.AdenoCA..DO51527	151	0	0	710	362	0
X39d38c06.3779.4ca4.b103.1d096f93dae8..Panc.AdenoCA..DO51532	78	0	0	255	153	0
X3b526846.72d6.4e10.b7cd.8cdb45a92a1c..Panc.AdenoCA..DO34736	119	449	0	463	344	0
X3bfbc33d.804b.4bb3.97ac.97563d77b13d..Panc.AdenoCA..DO33376	105	0	0	469	0	0
X3c86ba21.7b11.4ec7.9d20.a2325197c676..Panc.AdenoCA..DO33042	65	0	0	130	197	0
X3e4d0e50.8cf4.4eb0.a00a.ccf0484ecc2f..Panc.AdenoCA..DO33984	67	0	0	306	0	0
X3ed783cf.2248.44a1.a2a2.d6b6519b91ef..Panc.AdenoCA..DO51495	49	106	83	132	206	0
X3fb8f017.576f.4901.b8bf.3a58e5d43de3..Panc.AdenoCA..DO35138	0	0	0	60	73	0
X3fba4880.cb7b.4ac5.ab5f.728614faa1ea..Panc.AdenoCA..DO49466	109	0	0	686	0	0
X40378b7a.a65d.4510.aaba.a34c4058fac7..Panc.AdenoCA..DO49424	143	0	0	382	214	0
X42f00950.09c9.461a.8423.d5b04a96af10..Panc.AdenoCA..DO51472	58	0	0	206	181	0
X441d2f21.b448.4fc8.8c54.9b85aca56237..Panc.AdenoCA..DO35126	220	0	0	384	0	0
X4652ae03.b096.42d0.bdfa.3f6281d4f023..Panc.AdenoCA..DO35236	156	0	0	328	312	0
X46e166fe.3b20.49ad.98db.42c854c61c93..Panc.AdenoCA..DO51470	138	0	0	175	140	0
X4a4e0397.8702.46ef.aaa8.3980f03a40bf..Panc.AdenoCA..DO51521	0	0	0	0	18	0
X4a88981e.e409.440f.9bf0.71ca1bab8b4e..Panc.AdenoCA..DO51534	62	0	0	369	161	0
X4aa7eabc.0419.4897.b7af.5dcccfd6ac2f..Panc.AdenoCA..DO51476	203	341	234	0	294	110
X4c027164.12de.456f.b933.6bc91f70b46f..Panc.AdenoCA..DO49478	75	0	0	220	207	0
X4c4aa1b1.fda3.4c5b.b588.68aa727500ad..Panc.AdenoCA..DO51543	115	0	0	365	229	0
X4cbe411b.b05e.46bd.bea8.126289a0866c..Panc.AdenoCA..DO49090	165	0	0	307	182	0
X4db9e471.0068.4ec6.9bcb.33ef5fdec33e..Panc.AdenoCA..DO32976	40	0	0	274	172	0
X51458c86.0fdd.470e.b059.1ffbffc92a7f..Panc.AdenoCA..DO34288	106	0	0	137	162	0
X5187e77d.f412.4303.8049.11d1aa1a0235..Panc.AdenoCA..DO49419	199	843	239	615	0	0
X5255d645.d3d2.422e.8449.046cd21f4935..Panc.AdenoCA..DO34809	113	0	0	119	259	0
X52f43b72.15ea.40a0.a3b4.4bf22bc0bf25..Panc.AdenoCA..DO49427	63	0	0	177	146	0
X53534b3c.cd15.4d68.a9b1.6902bb234c45..Panc.AdenoCA..DO33552	323	675	249	873	0	0
X536dedba.46c4.4a21.b112.13c030b13069..Panc.AdenoCA..DO35442	6212	0	0	1539	0	0
X53e6a756.bdcc.4217.afe7.27d776159544..Panc.AdenoCA..DO35360	0	0	148	145	306	0
X54195db3.94a9.4538.8bb8.9953d936acd4..Panc.AdenoCA..DO221544	0	479	569	486	0	0
X541f91bd.7e9d.4348.9e78.45b948d8967e..Panc.AdenoCA..DO34961	0	0	0	438	304	0
X5650dc4e.8bce.4716.9199.cd5750d7a888..Panc.AdenoCA..DO35496	40	0	0	158	179	0
X569ff1b4.de87.4309.8484.80549aaf9485..Panc.AdenoCA..DO35200	9	0	0	26	59	0
X5b41e033.6df8.411e.a13b.59eeb8afbf9b..Panc.AdenoCA..DO33000	194	0	0	432	214	0
X5d9ff58c.5702.48fc.a66a.d1276327fd49..Panc.AdenoCA..DO51520	124	0	0	546	452	0
X5f94cb62.4019.47ff.bf6a.eeda8e9e033c..Panc.AdenoCA..DO49129	104	0	0	253	170	0
X60aff7a0.4960.4ed1.922b.3233ccbfdba1..Panc.AdenoCA..DO34336	45	0	0	236	145	0
X60c33e32.7e19.4e71.b075.a63fcf27e660..Panc.AdenoCA..DO49454	36	0	0	269	161	0
X60e78c80.41a5.456a.9a81.9007d18fd72c..Panc.AdenoCA..DO49137	81	0	0	338	218	0
X6297aa77.37a0.4f46.987b.32bd8653c0c2..Panc.AdenoCA..DO51490	96	0	0	434	0	0
X631ab9d0.5400.400c.b0bc.c3e576bcfe06..Panc.AdenoCA..DO49433	58	0	0	208	135	0
X644c669b.937b.4adc.81b9.6a1811cba9da..Panc.AdenoCA..DO49484	91	0	0	243	145	0
X654dba9f.cfe5.4121.97c7.868613cdef53..Panc.AdenoCA..DO33077	21	0	0	154	245	0
X65d2dbc3.a163.4696.b246.47a430e66572..Panc.AdenoCA..DO51514	431	0	0	491	0	0
X66290cc6.1f1f.4a0b.83d1.423952da4840..Panc.AdenoCA..DO49481	42	0	0	103	113	0
X6867811f.ac89.47da.b5dc.1270033c36e7..Panc.AdenoCA..DO49454	52	0	0	287	164	0
X68ba1105.569a.4209.9b45.0e2d64931806..Panc.AdenoCA..DO33152	221	0	0	492	0	0
X6ad44218.d34e.4126.bf56.1be2140cd3fb..Panc.AdenoCA..DO51484	52	0	0	454	0	0
X6b20f942.7b89.497c.8a2e.ccce74d20ca9..Panc.AdenoCA..DO49421	79	0	0	346	183	0
X6bdf00f6.670f.466e.87fb.e853e41f000e..Panc.AdenoCA..DO34504	27	0	114	69	169	0
X6fc0cb07.9713.4355.8543.f85d1c5505c2..Panc.AdenoCA..DO51529	390	0	0	1076	0	0
X70dd8453.11d3.4105.a8d0.6a755c52495d..Panc.AdenoCA..DO51540	95	0	0	234	166	0
X71ef8379.03a0.4b81.92c9.1ba666fe4d7a..Panc.AdenoCA..DO49127	70	0	0	226	137	0
X7266ec7b.4824.4b88.910e.e9bfb848d55f..Panc.AdenoCA..DO35290	241	0	0	186	207	0
X72a5e569.99d4.47bc.be1b.6296a5025080..Panc.AdenoCA..DO33264	223	0	0	627	0	0
X72f82fbd.9838.4082.b605.bc3d80226f16..Panc.AdenoCA..DO35116	276	0	0	607	551	0
X73058c80.607e.4b55.b112.8f8f6775d014..Panc.AdenoCA..DO51479	33	0	0	129	160	0
X7410c00d.ed0b.48dc.a4bf.eb76ac613980..Panc.AdenoCA..DO33400	113	0	0	350	281	0
X748d3ff3.8699.4519.8e0f.26b6a0581bff..Panc.AdenoCA..DO32833	44	0	0	162	102	0
X754d26af.f184.497c.856a.cd1ea7a5115c..Panc.AdenoCA..DO51546	25	0	0	93	180	0
X75cd90ef.e884.4812.bbf3.5a524d95147e..Panc.AdenoCA..DO51481	59	0	0	197	156	0
X75fac59c.3346.4c5a.bb9f.fb67fec8d13b..Panc.AdenoCA..DO34264	0	0	0	304	176	0
X78100212.65aa.4365.8b64.4b33f77732d5..Panc.AdenoCA..DO49113	137	0	0	479	206	0
X78103d9b.0b8a.431e.bb58.5c99fbea12e4..Panc.AdenoCA..DO51474	7463	0	0	11441	0	3130
X7981bbf3.dceb.4d89.900c.555967e97921..Panc.AdenoCA..DO35118	0	0	0	0	0	5469
X7b318282.5df4.42bc.b1e0.0e4a66ba9204..Panc.AdenoCA..DO34720	37	0	0	167	107	0
X7c43c006.d917.4915.b304.65995b6c0d46..Panc.AdenoCA..DO51522	135	0	0	136	204	0
X7cb71498.6ada.43c6.912b.bad4f93cf580..Panc.AdenoCA..DO34905	851	898	249	500	0	0
X7ccb9a4d.6f48.41c2.a630.27fde8c67d60..Panc.AdenoCA..DO34696	67	0	0	303	199	0
X7ccee959.1e87.4a39.b6b3.840ddcb94995..Panc.AdenoCA..DO51510	88	647	261	429	0	0
X7d04f401.3505.410c.8def.0348ecd8aae2..Panc.AdenoCA..DO51542	148	0	0	202	165	0
X7d7fff91.3f69.4123.b514.140ed3d9cd66..Panc.AdenoCA..DO51488	0	0	0	31	98	0
X7ef9fd9b.d349.4ec3.ab4d.1a1d11c0204b..Panc.AdenoCA..DO35098	26	0	0	159	110	0
X7f42e118.aab6.438a.9e84.e7451fe12d7e..Panc.AdenoCA..DO33168	182	0	0	248	194	0
X7f5fd36f.6e30.45ca.92a5.d8a8a8ee1bc2..Panc.AdenoCA..DO51468	61	0	0	311	166	0
X7fcd8af9.4d73.4c97.95cc.b30b09f21bb2..Panc.AdenoCA..DO32893	44	0	0	86	136	0
X81bc7f0c.865d.4801.a935.2ab04170df53..Panc.AdenoCA..DO35350	144	895	314	415	0	0
X8282283d.247a.431d.9421.0fcc52f0a897..Panc.AdenoCA..DO221541	166	869	229	129	526	0
X8454fe53.869d.41c8.b0c8.a7929d00eec3..Panc.AdenoCA..DO32900	211	0	153	341	388	0
X84a6ea88.eeb8.4060.a90c.e4abac013ad4..Panc.AdenoCA..DO32980	62	250	97	0	0	256
X88bc38ba.ad1d.431e.a67e.0a5a23678386..Panc.AdenoCA..DO49181	70	0	0	173	147	0
X88d5a8b2.daba.45ce.90bf.480fac85bf1d..Panc.AdenoCA..DO49168	103	0	0	275	161	0
X89195d56.1ef2.41df.b200.9f18e38f574a..Panc.AdenoCA..DO51507	55	0	0	185	165	0
X8be6b14d.286a.471b.a282.ab98bc6050c3..Panc.AdenoCA..DO51506	84	0	0	633	0	0
X8c233a11.3b2e.4273.bbe1.b5a5f5a351d5..Panc.AdenoCA..DO51477	49	0	0	201	138	0
X8d67c121.37d0.4fc0.a349.2c9452589d65..Panc.AdenoCA..DO34793	176	0	0	386	0	0
X9011cf17.0783.4f9d.b355.4f0fc1a2e78b..Panc.AdenoCA..DO51501	63	0	0	229	158	0
X9078333d.73d3.496a.9fc3.a94353b7e107..Panc.AdenoCA..DO51499	70	0	0	227	138	0
X90b3c237.29a4.48b3.90b3.9f2c0ccb5928..Panc.AdenoCA..DO49193	101	0	0	200	197	0
X91b6fd6b.547a.47e4.8ecb.a6f1826ccfd3..Panc.AdenoCA..DO35216	16	0	0	19	76	22
X92dc0e0c.842f.40de.9c39.486b491ea80a..Panc.AdenoCA..DO33600	125	0	0	365	181	0
X94652d14.2e4d.4f4a.a4f7.8df77df788c0..Panc.AdenoCA..DO51498	92	0	0	292	141	0
X95cc9620.7686.4805.a96c.cf8e659847c3..Panc.AdenoCA..DO51515	40	0	0	307	240	0
X96ba50eb.3c12.41ad.ac7b.d23b2001fe44..Panc.AdenoCA..DO51469	264	0	0	207	357	0
X96cca60e.17dc.44c3.90f7.1b57b0e08e5f..Panc.AdenoCA..DO35228	72	0	0	162	162	0
X97c46ede.b280.4344.8dbb.e860c6472239..Panc.AdenoCA..DO51504	23	0	0	171	163	0
X9c399826.087f.44b9.98c0.bd881646b0f4..Panc.AdenoCA..DO33472	86	0	0	237	143	0
X9c857452.c81d.4b9e.87a8.5b41f4394f7c..Panc.AdenoCA..DO34608	31	0	0	81	153	0
X9df57388.7de1.4c90.910e.ef63a246dff1..Panc.AdenoCA..DO49172	124	0	0	271	154	0
X9ebac79d.8b38.4469.837e.b834725fe6d5..Panc.AdenoCA..DO34640	135	0	0	295	231	0
X9ffe694e.b488.489e.bdbe.0800e505eec4..Panc.AdenoCA..DO49460	259	0	0	629	0	0
a2238b5f.0513.487a.9b1b.7bef85ebf336..Panc.AdenoCA..DO32878	129	0	0	196	144	0
a3210fd0.344c.468e.8ff2.2d0869a2fb75..Panc.AdenoCA..DO51497	77	0	0	278	201	0
a3edc9cc.f54a.4459.a5d0.097879c811e5..Panc.AdenoCA..DO49135	115	0	0	289	197	0
a492a32b.bf2f.4f8c.b06e.794a4baa2fe7..Panc.AdenoCA..DO49074	64	0	0	170	154	0
a5346247.3f30.470a.b4ab.732180786291..Panc.AdenoCA..DO33960	176	0	0	438	0	0
a5d5c238.0447.47fa.9a81.3b823cbdcea6..Panc.AdenoCA..DO34849	113	0	0	620	0	0
a6ebe0c0.8aab.4b9f.8328.4b795895a77d..Panc.AdenoCA..DO51465	99	0	0	389	265	0
a7a56d67.1bd7.4d69.9237.34c2d261261b..Panc.AdenoCA..DO51486	0	297	0	0	250	0
aa4a868a.df23.4eef.a618.e945aa2ce98a..Panc.AdenoCA..DO34448	587	0	0	534	398	268
ac02c38e.5fca.4995.b0cc.39b6189976a3..Panc.AdenoCA..DO51478	373	0	0	972	0	0
af9cfac8.7fbe.49cb.aeca.8d68aea57994..Panc.AdenoCA..DO51494	158	0	0	200	355	0
b04624d2.d8f8.4b51.be1b.72c73d8055f9..Panc.AdenoCA..DO35085	22	0	0	58	107	0
b37d6283.6f95.4975.a794.f3d5c4bbc7b3..Panc.AdenoCA..DO32960	0	0	0	179	129	0
b47aa163.eec9.4225.940b.4373e78152e2..Panc.AdenoCA..DO33200	69	0	0	285	183	0
b54b9433.ec10.4cb5.a860.4555da64917b..Panc.AdenoCA..DO51473	66	0	0	176	214	0
b5cabba2.30a4.458e.897c.00ec3fefa6d2..Panc.AdenoCA..DO49445	159	0	0	509	0	0
b5dd0bc9.6c1c.4272.b920.744de37d0aee..Panc.AdenoCA..DO33480	0	0	103	82	145	0
b7008a98.5aa0.4cc9.9bee.af2a422266db..Panc.AdenoCA..DO33288	333	0	0	417	319	0
b710b214.5666.4054.97ef.3b9ac2bd90ac..Panc.AdenoCA..DO51485	120	0	0	230	155	0
b80ca528.2c5f.400c.8df3.9c47869a64c2..Panc.AdenoCA..DO49439	80	0	0	269	153	0
b8270565.9e02.4d46.9534.08206bfd027a..Panc.AdenoCA..DO221542	41	0	0	94	144	0
bb8176a7.ea7c.42d7.a85a.cec1ca386f2e..Panc.AdenoCA..DO34656	34	0	0	77	143	0
bbbc531a.dd41.40b7.ae59.e35508aea0c7..Panc.AdenoCA..DO32837	34	0	0	182	0	0
bbdd7393.024b.4073.b5bc.ef7a68c15b8a..Panc.AdenoCA..DO221545	0	1336	601	305	0	0
bbff7954.95ec.455c.b0bc.92f67a09ee77..Panc.AdenoCA..DO35305	80	0	0	352	209	0
bc395326.1656.4ef2.bb19.0cb29194b91c..Panc.AdenoCA..DO35083	37530	0	0	10607	0	0
bcef0b6c.6584.4090.9d28.ef784a7e5fbb..Panc.AdenoCA..DO51523	48	0	0	125	82	0
c0523251.3ac2.4292.bb00.9ae9ea9009f6..Panc.AdenoCA..DO51528	40	0	0	347	181	0
c13fb736.614c.4d5f.83bf.2d7586f4fb53..Panc.AdenoCA..DO51466	81	0	0	176	162	0
c15a51cc.4fdc.4343.a410.13ddc238dac8..Panc.AdenoCA..DO35114	24	0	0	43	54	0
c3679262.63d7.463e.9501.6ab3f177aee8..Panc.AdenoCA..DO51496	150	0	0	531	0	0
c741fb12.8160.43a7.bc70.2c545ea0031d..Panc.AdenoCA..DO49436	181	0	0	442	0	0
c9e7c629.7b57.4ede.b315.0cea8c97c48e..Panc.AdenoCA..DO35424	79	0	0	141	260	0
ca284012.bd06.47a3.8a9d.c6b185d87d85..Panc.AdenoCA..DO51511	89	277	116	368	227	0
cafe9603.a804.48fb.9217.e2d1c3c346c5..Panc.AdenoCA..DO32916	403	0	0	917	0	0
cb4608a7.6aec.4cba.b20f.489e214c9dbd..Panc.AdenoCA..DO51509	18	0	43	0	176	32
cba4de91.cce7.4edc.8450.d0a52c959586..Panc.AdenoCA..DO35330	0	0	0	163	135	0
cc7af465.22ed.485d.a78c.282b840bf7c9..Panc.AdenoCA..DO35454	79	0	0	241	197	0
cf072bfe.3191.4a71.9e0b.decaa28365e1..Panc.AdenoCA..DO34600	48	0	0	138	169	0
cfe0bf13.2ff4.4164.9b6a.cd3615bf3ddc..Panc.AdenoCA..DO33016	47	0	0	187	172	0
d05ea63c.86a3.463a.a790.2edaa74b4da7..Panc.AdenoCA..DO51538	67	0	0	213	283	0
d1804679.e728.4597.ac69.49554c087b9e..Panc.AdenoCA..DO51533	55	0	0	135	182	0
d333b55b.8bac.4a99.9d23.3cc0c25057bf..Panc.AdenoCA..DO51487	61	0	0	180	243	0
d4907a1b.8b06.47c5.8bca.c781d9cddaf8..Panc.AdenoCA..DO49184	105	0	0	220	214	0
d5796835.d6cd.427e.a398.5fbef88b0648..Panc.AdenoCA..DO51548	105	0	0	702	0	0
d8de6de6.4cfe.4239.9ebd.3437aa65efb2..Panc.AdenoCA..DO221543	46	0	0	108	113	0
d91f487e.0895.44ef.aeb1.a62bd576f8b0..Panc.AdenoCA..DO49079	116	0	0	1216	0	0
da1ed4b9.f428.48aa.834d.1d9673999044..Panc.AdenoCA..DO35128	68	0	0	242	185	0
db2a1df8.487d.4dad.a347.5c5ed539d5ad..Panc.AdenoCA..DO51531	93	0	0	723	0	0
dc856038.f5f7.4dfc.a0a4.3e3a6b8d160f..Panc.AdenoCA..DO34728	38	0	0	210	134	0
dd4fdb6a.8067.4b64.ab74.bbb0fec34ca9..Panc.AdenoCA..DO34801	137	0	0	279	156	0
ded2689b.8e37.480c.b37c.acc538e54ddf..Panc.AdenoCA..DO35136	183	0	0	150	279	0
e0aa815f.668a.4de9.bb32.3f215bb7f843..Panc.AdenoCA..DO34785	178	0	0	677	0	0
e1df938f.1f23.4291.98ef.13db6debb796..Panc.AdenoCA..DO51505	48	0	0	193	162	0
e4c8c7f0.5bac.4d59.91c4.c98207150548..Panc.AdenoCA..DO221547	0	783	310	341	0	0
e5193d7e.e8b7.4098.bf98.8b3a62781d13..Panc.AdenoCA..DO49451	113	0	0	377	220	0
e56b0990.ff67.47c1.b9ad.87ef1d4aa2ae..Panc.AdenoCA..DO33368	124	0	0	281	301	0
e6eda5db.4d4f.418e.b0d4.ed9b3e5259d3..Panc.AdenoCA..DO51525	44	75	0	80	112	0
e7048a93.a1ed.4cdc.a1ab.fa507408ca77..Panc.AdenoCA..DO51480	185	0	0	301	0	0
e7603fc8.9b73.4c17.86f9.46ca1bceeb1d..Panc.AdenoCA..DO51519	54	0	0	239	143	0
e97ea3d7.9fcd.4df1.9ea8.587cb3be75ec..Panc.AdenoCA..DO49183	145	0	0	148	147	53
ec646623.6d33.4fbd.888e.89f55d82eb11..Panc.AdenoCA..DO33184	216	0	0	250	203	0
ec77847e.48fd.4ba5.bc3e.3cd1b149b552..Panc.AdenoCA..DO51475	324	0	0	422	0	0
ecfe388a.99f5.44b9.9226.a6ae6d892538..Panc.AdenoCA..DO221539	86	0	0	234	182	0
edac1323.2497.45e6.9148.e9c955292ba2..Panc.AdenoCA..DO33248	81	0	0	233	153	0
ee5d5e7d.78cf.4a29.a9ee.56aa3da877dd..Panc.AdenoCA..DO32875	36	0	0	167	172	0
ee8ba991.8c96.476e.b096.49f3aaaffc2f..Panc.AdenoCA..DO32863	146	0	0	181	175	0
ef002c3d.358f.4fc0.98f3.2f8b89de4374..Panc.AdenoCA..DO51512	44	0	0	117	204	0
ef3a0ccd.85bc.4e5f.a8c6.5a2e2d9e6717..Panc.AdenoCA..DO49080	186	0	206	647	0	0
efacd7d6.56cf.4f6a.87f0.1a7ab6b1a643..Panc.AdenoCA..DO51483	210	0	0	310	183	0
efc39172.083c.4297.b922.3f58df781332..Panc.AdenoCA..DO35198	131	0	0	217	229	0
f1d9124e.dfa2.415e.b8b8.dd872fd3e2cb..Panc.AdenoCA..DO33408	48	0	0	134	147	0
f283ed80.8302.4f26.99ed.ea20d101289d..Panc.AdenoCA..DO49420	34	0	0	104	132	0
f4ada7a2.c4ac.4f89.ada7.4645861002cb..Panc.AdenoCA..DO51530	158	517	146	182	252	0
f4e673a9.5b85.46e7.bcac.2ce6e1026896..Panc.AdenoCA..DO51502	103	0	0	268	153	75
f4e926fd.006e.4c85.b71c.1433c325acb0..Panc.AdenoCA..DO49204	52	0	0	179	123	0
f5bb7ae4.4bb4.4e87.b83c.bc8620584989..Panc.AdenoCA..DO34312	55	0	0	213	185	0
f7702c0c.9636.4700.a8ae.7a58afd9fa71..Panc.AdenoCA..DO33544	64	0	0	334	194	0
f94c4f69.8119.4eaf.97c1.5106890c14d4..Panc.AdenoCA..DO35186	194	0	0	272	0	0
fa54205f.7e51.4e5a.9f0a.5e8a2e40235f..Panc.AdenoCA..DO49178	23	0	0	122	115	0
fa9a3247.a465.4fdf.bb64.5afaa83a5d76..Panc.AdenoCA..DO35132	0	0	0	33	39	0
fdbd0277.ddbf.4cc5.8ec3.3644b9553627..Panc.AdenoCA..DO35406	82	0	0	164	151	0
fe96d91c.3686.4125.af71.b8703a011ad4..Panc.AdenoCA..DO49463	87	0	0	1167	0	0
ffe4bb51.e98a.41a7.a4e1.c3970386889c..Panc.AdenoCA..DO51503	49	0	0	81	153	0
